epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1207,1.39985,3.18075,1.48224,0.37829,0.34922,0.31318,0.13174,1.89945,2.25795,1.84933,0.00023654,0.00023654,0.00023654
2,132.706,1.32139,1.97274,1.44906,0.56755,0.42836,0.45733,0.18985,1.99014,1.94989,1.93638,0.00045105,0.00045105,0.00045105
3,195.27,1.27544,1.70444,1.41003,0.63314,0.44729,0.48543,0.24883,1.8046,1.82617,1.82985,0.000641998,0.000641998,0.000641998
4,255.82,1.24244,1.59484,1.38532,0.66727,0.49941,0.53196,0.23467,1.93241,1.75409,1.87532,0.000607971,0.000607971,0.000607971
5,315.856,1.21724,1.51424,1.3648,0.6888,0.51305,0.56256,0.25433,1.95428,1.64502,1.90262,0.000572628,0.000572628,0.000572628
6,375.703,1.18628,1.45116,1.34275,0.64072,0.49293,0.52212,0.25101,1.81059,1.70482,1.81717,0.000537285,0.000537285,0.000537285
7,437.415,1.15715,1.37728,1.32029,0.65998,0.53712,0.57642,0.28592,1.74255,1.5218,1.75219,0.000501942,0.000501942,0.000501942
8,498.02,1.14625,1.32936,1.31009,0.64062,0.56061,0.57749,0.25956,1.8836,1.49447,1.84837,0.000466599,0.000466599,0.000466599
9,559.963,1.12542,1.28625,1.29367,0.76869,0.576,0.63751,0.32251,1.70963,1.32096,1.66559,0.000431256,0.000431256,0.000431256
10,620.812,1.10801,1.24282,1.28174,0.72698,0.57535,0.61918,0.2984,1.77823,1.46573,1.76418,0.000395913,0.000395913,0.000395913
11,679.977,1.14908,1.21223,1.31575,0.76581,0.61642,0.6619,0.35169,1.6219,1.28653,1.6348,0.00036057,0.00036057,0.00036057
12,738.843,1.11433,1.13558,1.28961,0.8012,0.59397,0.66115,0.34206,1.66799,1.25598,1.63053,0.000325227,0.000325227,0.000325227
13,795.245,1.0957,1.09174,1.27502,0.80586,0.62219,0.68629,0.34045,1.70556,1.28458,1.67813,0.000289884,0.000289884,0.000289884
14,852.763,1.07357,1.04893,1.26138,0.83452,0.62416,0.6898,0.35102,1.63673,1.19311,1.64178,0.000254541,0.000254541,0.000254541
15,909.986,1.05124,1.01378,1.24547,0.82757,0.63275,0.70437,0.3608,1.66374,1.16926,1.65097,0.000219198,0.000219198,0.000219198
16,967.655,1.03101,0.97446,1.23149,0.84082,0.65497,0.72163,0.39891,1.50472,1.09055,1.5629,0.000183855,0.000183855,0.000183855
17,1024.46,1.0087,0.94799,1.21282,0.84915,0.64334,0.70857,0.3878,1.51302,1.09476,1.56314,0.000148512,0.000148512,0.000148512
18,1085.25,0.99684,0.92326,1.20182,0.86898,0.64578,0.72352,0.39888,1.53899,1.04791,1.58278,0.000113169,0.000113169,0.000113169
19,1141.78,0.97298,0.89518,1.1898,0.892,0.64695,0.72701,0.39199,1.56884,1.05904,1.605,7.7826e-05,7.7826e-05,7.7826e-05
20,1198.27,0.96147,0.8857,1.18216,0.881,0.64771,0.73322,0.4134,1.48322,1.01097,1.53254,4.2483e-05,4.2483e-05,4.2483e-05
