epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7009,1.39941,3.18108,1.48427,0.49509,0.36542,0.38132,0.16636,1.88746,2.22885,1.83492,0.00023654,0.00023654,0.00023654
2,128.1,1.32748,1.97073,1.45283,0.52535,0.40296,0.41705,0.16736,2.03434,1.9628,1.99229,0.000469842,0.000469842,0.000469842
3,186.416,1.28015,1.7234,1.41737,0.49809,0.37568,0.39417,0.19559,1.88393,2.14181,1.82998,0.000698432,0.000698432,0.000698432
4,243.386,1.24831,1.61187,1.39415,0.61879,0.46936,0.4975,0.2065,1.95826,1.81763,1.93627,0.000692794,0.000692794,0.000692794
5,300.417,1.23775,1.54937,1.38384,0.66052,0.5093,0.55008,0.25639,1.9507,1.68847,1.90621,0.000685726,0.000685726,0.000685726
6,359.573,1.20921,1.49125,1.36105,0.63261,0.47065,0.52037,0.24047,1.85824,1.77215,1.81674,0.000678657,0.000678657,0.000678657
7,418.198,1.1797,1.41639,1.33904,0.73358,0.49017,0.56136,0.26513,1.82086,1.60769,1.80887,0.000671588,0.000671588,0.000671588
8,475.924,1.17465,1.37458,1.33227,0.65214,0.51537,0.55455,0.23957,2.0221,1.67691,1.95968,0.00066452,0.00066452,0.00066452
9,532.535,1.15712,1.34771,1.32091,0.65895,0.57135,0.60367,0.27987,1.86764,1.52539,1.77846,0.000657451,0.000657451,0.000657451
10,591.166,1.14355,1.29916,1.30724,0.71247,0.55945,0.59412,0.28164,1.84829,1.53914,1.83931,0.000650383,0.000650383,0.000650383
11,649.771,1.12492,1.27976,1.29927,0.69385,0.57,0.61056,0.2977,1.76444,1.43419,1.72485,0.000643314,0.000643314,0.000643314
12,706.635,1.11389,1.24567,1.29126,0.78509,0.57069,0.64606,0.33549,1.65375,1.33762,1.66539,0.000636245,0.000636245,0.000636245
13,762.983,1.10814,1.22405,1.28585,0.76854,0.55994,0.62336,0.27696,1.99425,1.52493,1.99172,0.000629177,0.000629177,0.000629177
14,820.725,1.10326,1.20285,1.27946,0.78084,0.57806,0.64704,0.31863,1.77376,1.31969,1.7623,0.000622108,0.000622108,0.000622108
15,877.744,1.08854,1.17509,1.26963,0.71779,0.60067,0.63118,0.34847,1.63324,1.37483,1.63862,0.00061504,0.00061504,0.00061504
16,934.405,1.08708,1.1486,1.26737,0.77932,0.56478,0.63547,0.33025,1.68886,1.34934,1.70396,0.000607971,0.000607971,0.000607971
17,990.593,1.08122,1.14337,1.25596,0.75247,0.60252,0.65727,0.34497,1.6976,1.30141,1.67799,0.000600902,0.000600902,0.000600902
18,1048.05,1.07107,1.12542,1.25504,0.76176,0.60001,0.64295,0.34234,1.62459,1.32068,1.64495,0.000593834,0.000593834,0.000593834
19,1104.37,1.06796,1.09939,1.24357,0.74999,0.59523,0.64175,0.32988,1.70075,1.3166,1.69172,0.000586765,0.000586765,0.000586765
20,1160.67,1.05923,1.10253,1.24623,0.78487,0.61389,0.67036,0.35541,1.64289,1.23325,1.64043,0.000579697,0.000579697,0.000579697
21,1216.84,1.04684,1.07498,1.23319,0.80565,0.56942,0.66278,0.34179,1.76087,1.26683,1.76041,0.000572628,0.000572628,0.000572628
22,1274.79,1.03907,1.0456,1.22241,0.77378,0.64406,0.69283,0.37168,1.65413,1.17252,1.6494,0.000565559,0.000565559,0.000565559
23,1333.5,1.03806,1.05633,1.23307,0.76853,0.63077,0.67787,0.36279,1.64829,1.22462,1.66007,0.000558491,0.000558491,0.000558491
24,1390.12,1.03222,1.0378,1.22821,0.76149,0.63355,0.67809,0.38953,1.57772,1.20988,1.57254,0.000551422,0.000551422,0.000551422
25,1446.58,1.0243,1.00857,1.217,0.82348,0.6306,0.69956,0.36667,1.6785,1.17153,1.67461,0.000544354,0.000544354,0.000544354
26,1505.04,1.01951,1.00039,1.21344,0.76968,0.63917,0.69037,0.39432,1.55404,1.11504,1.55793,0.000537285,0.000537285,0.000537285
